2023/10/31-12:35:13 => load config ip = 192.168.11.6, 192.168.0.10, 192.168.0.20, 192.168.0.30
2023/10/31-12:35:14 => 刚启动，先读取使能状态
2023/10/31-12:35:14 => get connected cmd
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[12] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[13] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[14] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[15] , PORT[12]
2023/10/31-12:35:17 => sent:0C 03 00 00 00 01 85 17   to COM[16] , PORT[12]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[1] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[2] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[3] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[4] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[5] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[6] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[7] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[8] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[9] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[10] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[11] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[12] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[13] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[14] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[15] , PORT[13]
2023/10/31-12:35:17 => sent:0D 03 00 00 00 01 84 C6   to COM[16] , PORT[13]
2023/10/31-12:35:17 => sent:0E 03 00 00 00 01 84 F5   to COM[1] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[2] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[3] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[4] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[5] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[6] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[7] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[8] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[9] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[10] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[11] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[12] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[13] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[14] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[15] , PORT[14]
2023/10/31-12:35:18 => sent:0E 03 00 00 00 01 84 F5   to COM[16] , PORT[14]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[1] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[2] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[3] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[4] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[5] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[6] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[7] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[8] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[9] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[10] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[11] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[12] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[13] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[14] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[15] , PORT[15]
2023/10/31-12:35:18 => sent:0F 03 00 00 00 01 85 24   to COM[16] , PORT[15]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[1] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[2] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[3] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[4] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[5] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[6] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[7] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[8] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[9] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[10] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[11] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[12] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[13] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[14] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[15] , PORT[16]
2023/10/31-12:35:18 => sent:10 03 00 00 00 01 87 4B   to COM[16] , PORT[16]
2023/10/31-12:35:18 => sent:11 03 00 00 00 01 86 9A   to COM[1] , PORT[17]
2023/10/31-12:35:18 => sent:11 03 00 00 00 01 86 9A   to COM[2] , PORT[17]
2023/10/31-12:35:18 => sent:11 03 00 00 00 01 86 9A   to COM[3] , PORT[17]
2023/10/31-12:35:18 => sent:11 03 00 00 00 01 86 9A   to COM[4] , PORT[17]
2023/10/31-12:35:18 => sent:11 03 00 00 00 01 86 9A   to COM[5] , PORT[17]
2023/10/31-12:35:18 => sent:11 03 00 00 00 01 86 9A   to COM[6] , PORT[17]
2023/10/31-12:35:18 => sent:11 03 00 00 00 01 86 9A   to COM[7] , PORT[17]
2023/10/31-12:35:18 => sent:11 03 00 00 00 01 86 9A   to COM[8] , PORT[17]
2023/10/31-12:35:18 => sent:11 03 00 00 00 01 86 9A   to COM[9] , PORT[17]
2023/10/31-12:35:19 => sent:11 03 00 00 00 01 86 9A   to COM[10] , PORT[17]
2023/10/31-12:35:19 => sent:11 03 00 00 00 01 86 9A   to COM[11] , PORT[17]
2023/10/31-12:35:19 => sent:11 03 00 00 00 01 86 9A   to COM[12] , PORT[17]
2023/10/31-12:35:19 => sent:11 03 00 00 00 01 86 9A   to COM[13] , PORT[17]
